media_id,url,name,facebook_page,twitter_handle,entertainment_only,allsides_media_bias_rating,adfontes_bias,adfontes_reliability,https://github.com/hauselin/domain-quality-ratings/blob/main/data/domain_ratings.csv
269352,https://www.dailywire.com/,Daily Wire,https://www.facebook.com/DailyWire,realDailyWire,0,Right,14.11,33.78,
26811,https://jacobin.com/,Jacobin,https://www.facebook.com/jacobinmag,jacobin,0,Left,-21.57,31.16,
25444,https://www.thegatewaypundit.com/,GatewayPundit,https://www.facebook.com/gatewaypundit,,0,Right,24.83,15.7,
1721,https://www.democracynow.org/,Democracy Now!,https://www.facebook.com/democracynow,democracynow,0,Left,-16.48,31.38,
1094,https://www.bbc.com/,BBC,https://www.facebook.com/bbcnews,BBCBreaking,0,Center,-2.69,46.18,
101,https://www.washingtontimes.com/,Washington Times,https://www.facebook.com/TheWashingtonTimes,WashTimes,0,Lean Right,12.37,36.07,
25349,https://www.newsmax.com/,NewsMax,https://www.facebook.com/newsmax,newsmax,0,Right,15.37,30.46,
1127,https://www.rawstory.com,Raw Story,https://www.facebook.com/TheRawStory/,RawStory,0,Left,-17.14,32.33,
69395,http://www.polygon.com/#spider,polygon.com,https://www.facebook.com/polygon,Polygon,1,,,,
56051,http://tmz.com/,TMZ,https://www.facebook.com/TMZ,TMZ,1,,-11.33,35.57,
24621,http://hollywoodlife.com,hollywoodlife.com,https://www.facebook.com/HollywoodLife,HollywoodLife,1,,-9.64,36.78,
24901,http://bleacherreport.com,Bleacher Report,https://www.facebook.com/bleacherreport,BleacherReport,1,,,,
67289,http://www.ign.com/#spider,ign.com,https://www.facebook.com/ign,IGN,1,,,,
67737,http://www.sbnation.com/#spider,SB Nation,https://www.facebook.com/sbnation,SBNation,1,,,,
68816,http://www.uproxx.com/#spider,uproxx.com,https://www.facebook.com/UPROXX,UPROXX,1,,-13.62,35.33,
22389,http://deadspin.com,Deadspin,https://www.facebook.com/deadspin,Deadspin,1,,-12.84,33.29,
88260,http://eater.com/#spider,eater.com,https://www.facebook.com/eater,Eater,1,,,,
98755,http://www.bustle.com/#spider,Bustle,https://www.facebook.com/bustledotcom,bustle,1,Lean Left,-10.04,39.73,
104698,http://www.refinery29.com,Refinery29,https://www.facebook.com/refinery29,Refinery29,1,Left,-11.96,34.28,
140484,http://thrillist.com/,thrillist.com,https://www.facebook.com/Thrillist/,Thrillist,1,,,,
142830,http://comicbook.com/,comicbook.com,https://www.facebook.com/comicbookdotcom,ComicBook,1,,,,
147903,http://247sports.com/,247sports.com,https://www.facebook.com/247Sports/,247Sports,1,,,,
325070,http://90min.com/,90min.com,,90min_football,1,,,,
19466,http://www.maxpreps.com,maxpreps.com,https://www.facebook.com/maxpreps/,MaxPreps,1,,,,
