state,chamber,name,party_abb,twitter_handle,instagram_handle,Instagram_URL,List
New York 11th District,U.S. Representative,"Malliotakis, Nicole",D,Nmalliotakis,nmalliotakis,https://www.instagram.com/nmalliotakis,congress2022
New York 12th District,U.S. Representative,"Maloney, Carolyn",D,RepMaloney,repmaloney,https://www.instagram.com/repmaloney,congress2022
New York 13th District,U.S. Representative,"Espaillat, Adriano",D,EspaillatNY,repadrianoespaillat,https://www.instagram.com/repadrianoespaillat,congress2022
New York 14th District,U.S. Representative,"Ocasio-Cortez, Alexandria",D,RepAOC,aoc,https://www.instagram.com/aoc,congress2022
New York 15th District,U.S. Representative,"Torres, Ritchie",D,RitchieTorres,ritchietorresny15,https://www.instagram.com/ritchietorresny15,congress2022
New York 16th District,U.S. Representative,"Bowman, Jamaal",D,JamaalBowmanNY,jamaalbowmanny,https://www.instagram.com/jamaalbowmanny,congress2022
New York 17th District,U.S. Representative,"Jones, Mondaire",D,MondaireJones,mondairejones,https://www.instagram.com/mondairejones,congress2022
New York 18th District,U.S. Representative,"Maloney, Sean Patrick",D,RepSeanMaloney,ny18spm,https://www.instagram.com/ny18spm,congress2022
New York 19th District,U.S. Representative,"Delgado, Antonio",D,RepDelgado,repantoniodelgado,https://www.instagram.com/repantoniodelgado,congress2022
New York 20th District,U.S. Representative,"Tonko, Paul D.",D,RepPaulTonko,reppaultonko,https://www.instagram.com/reppaultonko,congress2022
New York 21st District,U.S. Representative,"Stefanik, Elise",R,RepStefanik,elisestefanik,https://www.instagram.com/elisestefanik,congress2022
New York 22nd District,U.S. Representative,"Tenney, Claudia",R,claudiatenney,claudiatenney,https://www.instagram.com/claudiatenney,congress2022
New York 23rd District,U.S. Representative,"Reed, Tom",R,RepTomReed,reptomreed,https://www.instagram.com/reptomreed,congress2022
New York 24th District,U.S. Representative,"Katko, John",R,RepJohnKatko,repjohnkatko,https://www.instagram.com/repjohnkatko,congress2022
New York 25th District,U.S. Representative,"Morelle, Joseph",D,RepJoeMorelle,repjoemorelle,https://www.instagram.com/repjoemorelle,congress2022
New York 26th District,U.S. Representative,"Higgins, Brian",D,RepBrianHiggins,repbrianhiggins,https://www.instagram.com/repbrianhiggins,congress2022
New York 27th District,U.S. Representative,"Jacobs, Chris",R,jacobsny27,,,
North Carolina,U.S. Senator,"Tillis, Thom",R,SenThomTillis,senthomtillis,https://www.instagram.com/senthomtillis,congress2022
North Carolina,U.S. Senator,"Burr, Richard",R,SenatorBurr,senatorburr,https://www.instagram.com/senatorburr,congress2022
North Carolina 1st District,U.S. Representative,"Butterfield, G.K.",D,GKButterfield,gkbutterfield,https://www.instagram.com/gkbutterfield,congress2022
North Carolina 2nd District,U.S. Representative,"Ross, Deborah K.",D,DeborahRossNC,deborahrossnc,https://www.instagram.com/deborahrossnc,congress2022
North Carolina 3rd District,U.S. Representative,"Murphy, Greg",R,RepGregMurphy,,,congress2022
North Carolina 4th District,U.S. Representative,"Price, David",D,RepDavidEPrice,repdavideprice,https://www.instagram.com/repdavideprice,congress2022
North Carolina 5th District,U.S. Representative,"Foxx, Virginia",R,virginiafoxx,repvirginiafoxx,https://www.instagram.com/repvirginiafoxx,congress2022
North Carolina 6th District,U.S. Representative,"Manning, Kathy",D,KathyManningNC,kathymanningnc,https://www.instagram.com/kathymanningnc,congress2022
North Carolina 7th District,U.S. Representative,"Rouzer, David",R,RepDavidRouzer,repdavidrouzer,https://www.instagram.com/repdavidrouzer,congress2022
North Carolina 8th District,U.S. Representative,"Hudson, Richard",R,RepRichHudson,reprichhudson,https://www.instagram.com/reprichhudson,congress2022
North Carolina 9th District,U.S. Representative,"Bishop, Dan",R,jdanbishop,,,
North Carolina 10th District,U.S. Representative,"McHenry, Patrick T.",R,PatrickMcHenry,reppatrickmchenry,https://www.instagram.com/reppatrickmchenry,congress2022
North Carolina 11th District,U.S. Representative,"Cawthorn, Madison",R,CawthornforNC,madisoncawthorn,https://www.instagram.com/madisoncawthorn,congress2022
